Instance,Process,Average,Std Dev,Min,Max,Median,Q1,Q3,CV(%),Range,IQR
ft06.txt,Process 1,50.34,1.1065260954898444,48,53,50.0,50.0,51.0,2.1981050764597625,5,1.0
ft06.txt,Process 2,50.24,1.3499629624548963,47,52,50.5,49.0,51.0,2.687028189599714,5,2.0
la01.txt,Process 1,693.5,14.047419691886478,666,719,693.0,682.75,704.75,2.025583228822852,53,22.0
la01.txt,Process 2,695.6,15.750555545757743,666,729,694.5,685.0,708.0,2.264312183116409,63,23.0
ft10.txt,Process 1,971.72,21.022882770923687,920,1008,973.0,957.5,988.5,2.1634712438689836,88,31.0
ft10.txt,Process 2,972.16,23.26917273991493,900,1007,976.0,958.25,989.75,2.39355381212094,107,31.5
la16.txt,Process 1,1010.8,18.540765895722863,962,1046,1011.5,997.25,1023.75,1.8342665112507779,84,26.5
la16.txt,Process 2,1008.24,27.45655477294994,925,1058,1014.5,990.75,1026.75,2.723216176004715,133,36.0
abz5.txt,Process 1,1412.0,33.05994555349419,1323,1485,1411.0,1390.0,1439.25,2.341355917386274,162,49.25
abz5.txt,Process 2,1412.3,28.612759391572144,1339,1474,1412.0,1398.0,1432.25,2.025968943678549,135,34.25
